,Gene,Ensembl,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type distribution,RNA single cell type specificity score,RNA single cell type specific nTPM,RNA single nuclei brain specificity,RNA single nuclei brain distribution,RNA single nuclei brain specificity score,RNA single nuclei brain specific nTPM,TAU score - Tissue,TAU score - Blood,TAU score - Brain,TAU score - Single Cell Type,TAU score - Single nuclei brain
0,ZBTB7C,ENSG00000184828,Tissue enhanced,Detected in many,,{'esophagus': '39.6'},Cell type enhanced,Detected in many,,"{'Basal squamous epithelial cells': '68.7', 'Distal enterocytes': '51.7', 'Squamous epithelial cells': '98.7', 'Suprabasal keratinocytes': '66.4'}",Cell type enhanced,Detected in all,,"{'ependymal cell': '354.3', 'vascular associated smooth muscle cell': '369.3'}",0.52,Not detected,0.16,0.63,0.47
0,ZBTB8A,ENSG00000160062,Low tissue specificity,Detected in many,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in many,,,0.31,0.71,0.19,0.43,0.26
0,ZBTB8B,ENSG00000273274,Not detected,Not detected,,,Cell type enhanced,Detected in some,,"{'Cone photoreceptor cells': '5.1', 'Langerhans cells': '4.4', 'Oligodendrocyte precursor cells': '8.5', 'Oocytes': '15.4'}",Not detected,Not detected,,,Not detected,Not detected,0.15,0.84,Not detected
0,ZBTB9,ENSG00000213588,Low tissue specificity,Detected in many,,,Low cell type specificity,Detected in many,,,Cell type enhanced,Detected in many,,{'choroid plexus epithelial cell': '19.5'},0.50,0.55,0.51,0.51,0.62
0,ZFAT,ENSG00000066827,Tissue enhanced,Detected in many,,{'placenta': '30.1'},Cell type enhanced,Detected in many,,"{'Cytotrophoblasts': '72.1', 'dendritic cells': '68.3', 'Late spermatids': '67.5', 'Syncytiotrophoblasts': '133.6'}",Low cell type specificity,Detected in all,,,0.65,0.85,0.26,0.68,0.13
0,ZFP1,ENSG00000184517,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.37,0.35,0.10,0.44,0.12
0,ZFP14,ENSG00000142065,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,"{'Bipolar cells': '59.1', 'Rod photoreceptor cells': '112.7'}",Low cell type specificity,Detected in all,,,0.44,0.27,0.11,0.50,0.13
0,ZFP2,ENSG00000198939,Low tissue specificity,Detected in many,,,Group enriched,Detected in many,4,"{'Astrocytes': '14.2', 'Excitatory neurons': '10.5', 'Inhibitory neurons': '14.6', 'Oligodendrocyte precursor cells': '17.0', 'Oligodendrocytes': '17.9'}",Low cell type specificity,Detected in all,,,0.41,Not detected,0.12,0.78,0.17
0,ZFP28,ENSG00000196867,Low tissue specificity,Detected in many,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.33,0.54,0.06,0.45,0.14
0,ZFP3,ENSG00000180787,Low tissue specificity,Detected in many,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.33,0.54,0.16,0.53,0.36
0,ZFP30,ENSG00000120784,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,{'Early spermatids': '61.8'},Low cell type specificity,Detected in all,,,0.31,0.42,0.16,0.63,0.09
0,ZFP37,ENSG00000136866,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,"{'Inhibitory neurons': '14.8', 'Oligodendrocyte precursor cells': '22.2', 'Oligodendrocytes': '27.7'}",Low cell type specificity,Detected in all,,,0.48,0.71,0.18,0.70,0.33
0,ZFP41,ENSG00000181638,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.33,Not detected,0.08,0.54,0.27
0,ZFP42,ENSG00000179059,Tissue enhanced,Detected in single,,{'testis': '2.0'},Cell type enhanced,Detected in some,,"{'Cytotrophoblasts': '14.8', 'Early spermatids': '43.3', 'Extravillous trophoblasts': '60.4', 'Late spermatids': '18.4', 'Syncytiotrophoblasts': '8.5'}",Not detected,Not detected,,,0.85,0.63,0.13,0.95,Not detected
0,ZFP57,ENSG00000204644,Group enriched,Detected in some,5,"{'brain': '10.9', 'heart muscle': '8.5'}",Cell type enhanced,Detected in some,,"{'Cardiomyocytes': '6.1', 'Erythroid cells': '3.7', 'Extravillous trophoblasts': '5.4', 'Late spermatids': '7.2', 'Pancreatic endocrine cells': '3.4', 'Schwann cells': '4.6', 'Spermatogonia': '3.1'}",Group enriched,Detected in some,8,"{'central nervous system macrophage': '1.6', 'committed oligodendrocyte precursor': '3.4', 'leukocyte': '5.6', 'oligodendrocyte': '5.2', 'oligodendrocyte precursor cell': '1.6', 'pericyte': '1.6'}",0.85,0.76,0.45,0.83,0.86
0,ZFP62,ENSG00000196670,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,{'Oocytes': '41.9'},Low cell type specificity,Detected in all,,,0.22,0.30,0.08,0.39,0.13
0,ZFP64,ENSG00000020256,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,{'Oocytes': '43.4'},Low cell type specificity,Detected in all,,,0.25,0.31,0.03,0.52,0.17
0,ZFP69,ENSG00000187815,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,{'Early spermatids': '21.0'},Low cell type specificity,Detected in all,,,0.30,0.78,0.08,0.74,0.30
0,ZFP69B,ENSG00000187801,Low tissue specificity,Detected in some,,,Cell type enhanced,Detected in many,,"{'Excitatory neurons': '9.8', 'Granulosa cells': '5.2', 'Inhibitory neurons': '7.6', 'Oligodendrocyte precursor cells': '10.4', 'Spermatogonia': '5.6'}",Low cell type specificity,Detected in many,,,0.52,0.54,0.26,0.75,0.37
0,ZFP82,ENSG00000181007,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,{'Horizontal cells': '25.2'},Low cell type specificity,Detected in all,,,0.45,0.44,0.15,0.51,0.13
0,ZFP90,ENSG00000184939,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.19,0.33,0.08,0.36,0.09
0,ZFP91,ENSG00000186660,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,"{'Early spermatids': '237.4', 'Late spermatids': '190.5'}",Not detected,Not detected,,,0.27,0.30,0.06,0.43,Not detected
0,ZFP92,ENSG00000189420,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in some,,"{'Adipocytes': '2.9', 'Endometrial stromal cells': '2.9', 'Peritubular cells': '4.0', 'Sertoli cells': '8.2'}",Cell type enhanced,Detected in many,,"{'midbrain-derived inhibitory': '9.7', 'pericyte': '9.1'}",0.53,Not detected,0.11,0.85,0.60
0,ZFPM1,ENSG00000179588,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,{'Muller glia cells': '53.1'},Low cell type specificity,Detected in all,,,0.49,Not detected,0.10,0.49,0.25
0,ZFPM2,ENSG00000169946,Tissue enhanced,Detected in many,,"{'brain': '29.9', 'ovary': '33.4'}",Cell type enhanced,Detected in many,,"{'Astrocytes': '109.3', 'Excitatory neurons': '507.3', 'Inhibitory neurons': '153.3', 'Microglial cells': '145.8', 'Oligodendrocyte precursor cells': '647.1', 'Oocytes': '106.6'}",Low cell type specificity,Detected in all,,,0.55,Not detected,0.39,0.80,0.26
0,ZFX,ENSG00000005889,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,{'monocytes': '113.6'},Low cell type specificity,Detected in all,,,0.31,0.19,0.09,0.34,0.18
0,ZFY,ENSG00000067646,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,{'Late spermatids': '90.0'},Low cell type specificity,Detected in all,,,0.49,0.26,0.26,0.62,0.18
0,ZIC1,ENSG00000152977,Tissue enriched,Detected in some,29,{'brain': '577.1'},Cell type enhanced,Detected in some,,"{'Astrocytes': '8.1', 'Hepatocytes': '4.7', 'Microglial cells': '24.2', 'Muller glia cells': '6.2', 'Oligodendrocytes': '8.8', 'Oocytes': '5.9', 'Skeletal myocytes': '9.8'}",Cell type enhanced,Detected in many,,"{'bergmann glia': '665.5', 'fibroblast': '888.0', 'pericyte': '644.8'}",0.91,Not detected,0.35,0.91,0.62
0,ZIC2,ENSG00000043355,Tissue enriched,Detected in some,8,{'brain': '155.1'},Group enriched,Detected in some,6,"{'Astrocytes': '26.6', 'Microglial cells': '27.7', 'Muller glia cells': '14.8'}",Cell type enhanced,Detected in many,,"{'endothelial cell': '114.2', 'fibroblast': '151.7', 'upper rhombic lip': '149.3'}",0.96,Not detected,0.39,0.94,0.66
0,ZIC3,ENSG00000156925,Tissue enriched,Detected in some,6,{'brain': '16.6'},Cell type enhanced,Detected in some,,"{'Microglial cells': '4.5', 'Muller glia cells': '11.1', 'Oocytes': '8.1', 'Spermatocytes': '2.1', 'Spermatogonia': '4.7'}",Cell type enhanced,Detected in some,,"{'bergmann glia': '33.5', 'endothelial cell': '28.2', 'fibroblast': '14.8'}",0.96,Not detected,0.43,0.95,0.84
0,ZIC4,ENSG00000174963,Tissue enriched,Detected in some,18,{'brain': '85.8'},Group enriched,Detected in some,4,"{'Early spermatids': '6.2', 'Late spermatids': '13.4', 'Microglial cells': '6.3', 'Muller glia cells': '5.7', 'Oligodendrocytes': '6.4'}",Cell type enhanced,Detected in many,,"{'bergmann glia': '79.9', 'fibroblast': '88.2', 'pericyte': '77.2', 'upper rhombic lip': '128.2'}",0.96,Not detected,0.37,0.94,0.68
0,ZIC5,ENSG00000139800,Tissue enriched,Detected in some,5,{'brain': '27.0'},Group enriched,Detected in some,6,"{'Astrocytes': '19.5', 'Microglial cells': '14.3', 'Spermatocytes': '5.8'}",Cell type enhanced,Detected in many,,"{'bergmann glia': '39.6', 'choroid plexus epithelial cell': '53.1', 'endothelial cell': '43.5', 'upper rhombic lip': '70.7'}",0.95,Not detected,0.47,0.95,0.73
0,ZIK1,ENSG00000171649,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,{'Erythroid cells': '14.2'},Low cell type specificity,Detected in all,,,0.36,0.42,0.27,0.66,0.18
0,ZIM2,ENSG00000269699,Tissue enhanced,Detected in some,,"{'ovary': '7.0', 'testis': '3.6'}",Cell type enhanced,Detected in some,,"{'Early spermatids': '16.0', 'Horizontal cells': '16.4', 'Inhibitory neurons': '18.4', 'Late spermatids': '40.9', 'Spermatocytes': '13.2', 'Spermatogonia': '18.3'}",Low cell type specificity,Detected in many,,,0.85,Not detected,0.15,0.84,0.36
0,ZIM3,ENSG00000141946,Not detected,Not detected,,,Not detected,Not detected,,,Not detected,Not detected,,,Not detected,Not detected,0.22,Not detected,Not detected
0,ZKSCAN1,ENSG00000106261,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,"{'Oligodendrocytes': '253.6', 'Prostatic glandular cells': '257.9'}",Low cell type specificity,Detected in all,,,0.30,0.39,0.07,0.29,0.22
0,ZKSCAN2,ENSG00000155592,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,"{'Rod photoreceptor cells': '11.1', 'Spermatocytes': '12.0'}",Low cell type specificity,Detected in all,,,0.43,Not detected,0.13,0.55,0.20
0,ZKSCAN3,ENSG00000189298,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.23,0.44,0.07,0.53,0.19
0,ZKSCAN4,ENSG00000187626,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,{'Spermatocytes': '25.2'},Low cell type specificity,Detected in all,,,0.46,0.31,0.21,0.60,0.29
0,ZKSCAN5,ENSG00000196652,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.34,0.37,0.11,0.44,0.15
0,ZKSCAN7,ENSG00000196345,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,"{'Early spermatids': '10.9', 'Late spermatids': '19.8', 'Oligodendrocyte precursor cells': '9.9', 'Spermatocytes': '10.2'}",Low cell type specificity,Detected in all,,,0.37,Not detected,0.20,0.75,0.26
0,ZKSCAN8,ENSG00000198315,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.19,0.49,0.08,0.41,0.18
0,ZMAT1,ENSG00000166432,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,"{'Astrocytes': '180.5', 'Oligodendrocyte precursor cells': '104.2', 'Oligodendrocytes': '105.0'}",Low cell type specificity,Detected in all,,,0.43,Not detected,0.14,0.57,0.24
0,ZMAT4,ENSG00000165061,Group enriched,Detected in some,6,"{'brain': '13.3', 'retina': '4.3', 'thyroid gland': '15.9'}",Group enriched,Detected in some,6,"{'Excitatory neurons': '213.5', 'Inhibitory neurons': '487.5'}",Cell type enhanced,Detected in many,,{'midbrain-derived inhibitory': '1206.1'},0.87,1.00,0.26,0.91,0.49
0,ZNF10,ENSG00000256223,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,"{'Excitatory neurons': '44.5', 'Inhibitory neurons': '46.3', 'Oligodendrocyte precursor cells': '50.9'}",Low cell type specificity,Detected in all,,,0.36,0.46,0.09,0.48,0.18
0,ZNF100,ENSG00000197020,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,"{'Early spermatids': '78.9', 'Late spermatids': '75.7'}",Low cell type specificity,Detected in all,,,0.42,0.31,0.13,0.55,0.29
0,ZNF101,ENSG00000181896,Tissue enhanced,Detected in all,,{'lymphoid tissue': '26.8'},Cell type enhanced,Detected in many,,"{'NK-cells': '21.9', 'T-cells': '29.4'}",Cell type enhanced,Detected in all,,{'leukocyte': '24.9'},0.57,0.36,0.07,0.55,0.43
0,ZNF107,ENSG00000196247,Tissue enhanced,Detected in many,,{'lymphoid tissue': '10.4'},Cell type enhanced,Detected in many,,"{'B-cells': '41.9', 'Mucus glandular cells': '25.6'}",Low cell type specificity,Detected in all,,,0.55,0.50,0.17,0.54,0.30
0,ZNF112,ENSG00000062370,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,"{'Excitatory neurons': '10.4', 'Inhibitory neurons': '9.5', 'Oligodendrocyte precursor cells': '9.9', 'Oligodendrocytes': '12.5'}",Low cell type specificity,Detected in all,,,0.37,Not detected,0.16,0.63,0.14
0,ZNF114,ENSG00000178150,Tissue enhanced,Detected in some,,{'thyroid gland': '5.6'},Cell type enhanced,Detected in some,,"{'Glandular and luminal cells': '7.4', 'Syncytiotrophoblasts': '19.8'}",Cell type enhanced,Detected in many,,{'oligodendrocyte precursor cell': '7.7'},0.74,0.68,0.05,0.86,0.74
0,ZNF117,ENSG00000152926,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,"{'Astrocytes': '33.8', 'Mucus glandular cells': '31.2'}",Low cell type specificity,Detected in all,,,0.37,0.81,0.07,0.49,0.27
0,ZNF12,ENSG00000164631,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.18,0.70,0.10,0.21,0.16
0,ZNF121,ENSG00000197961,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.30,0.27,0.05,0.29,0.13
0,ZNF124,ENSG00000196418,Low tissue specificity,Detected in many,,,Cell type enriched,Detected in many,4,{'Late spermatids': '1204.6'},Cell type enhanced,Detected in all,,{'central nervous system macrophage': '140.3'},0.36,0.24,0.10,0.71,0.38
0,ZNF131,ENSG00000172262,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,0.22,0.18,0.14,0.27,0.04
0,ZNF132,ENSG00000131849,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in some,,{'Early spermatids': '4.9'},Low cell type specificity,Detected in all,,,0.52,0.45,0.16,0.69,0.21
0,ZNF133,ENSG00000125846,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,"{'Excitatory neurons': '35.9', 'Inhibitory neurons': '40.2', 'Oligodendrocyte precursor cells': '30.7', 'Oligodendrocytes': '29.6'}",Low cell type specificity,Detected in all,,,0.25,0.36,0.15,0.56,0.18
0,ZNF134,ENSG00000213762,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.23,0.28,0.14,0.40,0.14
0,ZNF135,ENSG00000176293,Low tissue specificity,Detected in many,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.32,0.69,0.12,0.51,0.20
0,ZNF136,ENSG00000196646,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.33,0.30,0.15,0.39,0.25
0,ZNF138,ENSG00000197008,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,"{'Excitatory neurons': '72.8', 'Inhibitory neurons': '72.6', 'Oligodendrocytes': '84.1'}",Low cell type specificity,Detected in all,,,0.34,0.34,0.10,0.45,0.14
0,ZNF14,ENSG00000105708,Low tissue specificity,Detected in many,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.28,0.27,0.19,0.51,0.15
0,ZNF140,ENSG00000196387,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.17,0.15,0.05,0.31,0.14
0,ZNF141,ENSG00000131127,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,{'Granulosa cells': '58.3'},Low cell type specificity,Detected in all,,,0.36,0.35,0.17,0.39,0.24
0,ZNF142,ENSG00000115568,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,"{'Bipolar cells': '26.3', 'Rod photoreceptor cells': '43.8'}",Low cell type specificity,Detected in all,,,0.25,0.38,0.06,0.53,0.19
0,ZNF143,ENSG00000166478,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,{'Oocytes': '81.6'},Low cell type specificity,Detected in all,,,0.20,0.21,0.12,0.43,0.25
0,ZNF146,ENSG00000167635,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,{'Oligodendrocytes': '112.7'},Low cell type specificity,Detected in all,,,0.13,0.16,0.10,0.36,0.28
0,ZNF148,ENSG00000163848,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,0.30,0.24,0.07,0.25,0.11
0,ZNF154,ENSG00000179909,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,"{'Astrocytes': '11.1', 'dendritic cells': '11.9', 'Oligodendrocyte precursor cells': '9.9', 'Rod photoreceptor cells': '10.6'}",Low cell type specificity,Detected in all,,,0.44,0.72,0.17,0.65,0.23
0,ZNF155,ENSG00000204920,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,"{'Astrocytes': '22.3', 'Excitatory neurons': '21.3', 'Inhibitory neurons': '15.3', 'Oligodendrocyte precursor cells': '23.1', 'Oligodendrocytes': '22.4'}",Low cell type specificity,Detected in all,,,0.23,0.29,0.15,0.66,0.11
0,ZNF157,ENSG00000147117,Low tissue specificity,Detected in some,,,Cell type enhanced,Detected in some,,"{'Excitatory neurons': '1.6', 'Inhibitory neurons': '2.7', 'Melanocytes': '1.7', 'Oligodendrocyte precursor cells': '3.3', 'Oligodendrocytes': '2.3'}",Low cell type specificity,Detected in many,,,0.70,Not detected,0.38,0.90,0.32
0,ZNF16,ENSG00000170631,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,0.25,0.37,0.14,0.43,0.14
0,ZNF160,ENSG00000170949,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,0.22,0.31,0.12,0.36,0.19
0,ZNF165,ENSG00000197279,Tissue enhanced,Detected in many,,{'testis': '19.2'},Cell type enhanced,Detected in many,,"{'Distal enterocytes': '86.5', 'Early spermatids': '209.9', 'Glandular and luminal cells': '71.2', 'Mucus glandular cells': '66.0', 'Syncytiotrophoblasts': '89.5'}",Low cell type specificity,Detected in many,,,0.62,0.47,0.32,0.67,0.57
0,ZNF169,ENSG00000175787,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,"{'Excitatory neurons': '17.8', 'Inhibitory neurons': '16.0', 'Oligodendrocyte precursor cells': '13.2', 'Oligodendrocytes': '18.5'}",Low cell type specificity,Detected in all,,,0.24,0.20,0.09,0.62,0.18
0,ZNF17,ENSG00000186272,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,{'Spermatocytes': '12.4'},Not detected,Not detected,,,0.32,0.28,0.13,0.53,Not detected
0,ZNF174,ENSG00000103343,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Not detected,Not detected,,,0.19,0.32,0.07,0.38,Not detected
0,ZNF175,ENSG00000105497,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,{'Oligodendrocytes': '16.3'},Low cell type specificity,Detected in all,,,0.30,0.68,0.14,0.51,0.10
0,ZNF177,ENSG00000188629,Low tissue specificity,Detected in many,,,Group enriched,Detected in some,6,"{'Cone photoreceptor cells': '3.4', 'Early spermatids': '13.4', 'Late spermatids': '8.1', 'Spermatocytes': '4.2'}",Low cell type specificity,Detected in all,,,0.37,Not detected,0.13,0.96,0.20
0,ZNF18,ENSG00000154957,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,"{'Early spermatids': '19.5', 'Late spermatids': '30.1'}",Low cell type specificity,Detected in all,,,0.26,0.26,0.07,0.61,0.18
0,ZNF180,ENSG00000167384,Low tissue specificity,Detected in many,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.24,0.50,0.22,0.33,0.18
0,ZNF181,ENSG00000197841,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,"{'Cardiomyocytes': '54.3', 'Skeletal myocytes': '34.2'}",Low cell type specificity,Detected in all,,,0.28,0.27,0.08,0.52,0.14
0,ZNF182,ENSG00000147118,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.27,0.25,0.13,0.44,0.21
0,ZNF184,ENSG00000096654,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,{'Early spermatids': '46.4'},Low cell type specificity,Detected in all,,,0.30,0.27,0.29,0.60,0.35
0,ZNF189,ENSG00000136870,Tissue enhanced,Detected in all,,{'epididymis': '81.9'},Cell type enriched,Detected in many,4,{'Oligodendrocytes': '116.3'},Cell type enhanced,Detected in all,,{'oligodendrocyte': '178.3'},0.40,0.31,0.12,0.57,0.34
0,ZNF19,ENSG00000157429,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,"{'Ciliated cells': '14.9', 'Cone photoreceptor cells': '17.0', 'Rod photoreceptor cells': '28.1', 'Spermatocytes': '14.4'}",Group enriched,Detected in all,5,"{'choroid plexus epithelial cell': '142.5', 'ependymal cell': '241.4'}",0.45,0.40,0.06,0.67,0.51
0,ZNF195,ENSG00000005801,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.24,0.22,0.06,0.23,0.15
0,ZNF197,ENSG00000186448,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.30,0.69,0.11,0.39,0.13
0,ZNF2,ENSG00000275111,Low tissue specificity,Detected in many,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.25,0.35,0.08,0.54,0.17
0,ZNF20,ENSG00000132010,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,"{'Ciliated cells': '14.2', 'Early spermatids': '32.2', 'Late spermatids': '58.4'}",Cell type enhanced,Detected in all,,{'ependymal cell': '25.3'},0.50,0.56,0.20,0.82,0.48
0,ZNF200,ENSG00000010539,Tissue enhanced,Detected in all,,{'testis': '17.1'},Cell type enhanced,Detected in many,,"{'Early spermatids': '66.5', 'Spermatocytes': '42.2', 'Spermatogonia': '39.2'}",Low cell type specificity,Detected in all,,,0.48,0.34,0.18,0.59,0.17
0,ZNF202,ENSG00000166261,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,"{'Spermatocytes': '14.0', 'Spermatogonia': '15.1'}",Low cell type specificity,Detected in all,,,0.16,0.35,0.08,0.54,0.15
0,ZNF205,ENSG00000122386,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.26,Not detected,0.23,0.39,0.15
0,ZNF207,ENSG00000010244,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,0.23,0.10,0.05,0.17,0.09
0,ZNF208,ENSG00000160321,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,"{'Early spermatids': '21.9', 'Granulosa cells': '21.7', 'Oligodendrocytes': '24.5'}",Cell type enhanced,Detected in many,,{'hippocampal CA4': '98.2'},0.45,0.55,0.08,0.62,0.44
0,ZNF211,ENSG00000121417,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,{'Syncytiotrophoblasts': '24.1'},Low cell type specificity,Detected in all,,,0.29,0.17,0.17,0.52,0.22
0,ZNF212,ENSG00000170260,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,{'Spermatogonia': '22.2'},Low cell type specificity,Detected in all,,,0.23,0.30,0.04,0.48,0.23
0,ZNF213,ENSG00000085644,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,"{'Early spermatids': '21.1', 'Late spermatids': '57.1'}",Low cell type specificity,Detected in all,,,0.40,0.32,0.08,0.64,0.20
0,ZNF214,ENSG00000149050,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,"{'Ciliated cells': '19.2', 'Early spermatids': '11.9', 'Excitatory neurons': '10.1', 'Spermatocytes': '13.4'}",Cell type enhanced,Detected in many,,{'ependymal cell': '54.3'},0.54,Not detected,0.19,0.68,0.45
0,ZNF215,ENSG00000149054,Tissue enhanced,Detected in some,,{'lymphoid tissue': '4.1'},Cell type enhanced,Detected in many,,"{'Excitatory neurons': '13.2', 'Oocytes': '40.4', 'Plasma cells': '32.3'}",Low cell type specificity,Detected in many,,,0.69,0.68,0.13,0.80,0.41
0,ZNF217,ENSG00000171940,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,"{'Glandular and luminal cells': '146.9', 'Squamous epithelial cells': '117.2'}",Cell type enhanced,Detected in many,,"{'central nervous system macrophage': '85.3', 'leukocyte': '95.5'}",0.29,0.42,0.21,0.42,0.69
0,ZNF219,ENSG00000165804,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.29,Not detected,0.13,0.41,0.31
0,ZNF22,ENSG00000165512,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,0.28,0.17,0.16,0.22,0.23
0,ZNF221,ENSG00000159905,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in some,,{'Cone photoreceptor cells': '3.4'},Low cell type specificity,Detected in many,,,0.47,Not detected,0.15,0.66,0.23
0,ZNF222,ENSG00000159885,Low tissue specificity,Detected in all,,,Cell type enriched,Detected in many,6,{'Early spermatids': '117.6'},Low cell type specificity,Detected in all,,,0.35,0.25,0.17,0.77,0.30
0,ZNF223,ENSG00000178386,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.21,0.44,0.10,0.54,0.21
0,ZNF224,ENSG00000267680,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,0.19,0.35,0.08,0.32,0.10
0,ZNF225,ENSG00000256294,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,{'Early spermatids': '13.7'},Low cell type specificity,Detected in all,,,0.45,0.43,0.10,0.64,0.17
